dataset,labels_micro_f1,labels_macro_f1,labels_jaccard,openness_accuracy,openness_f1,openness_precision_macro,openness_precision_micro,openness_recall_macro,openness_recall_micro,model,step
labels_only_test,0.4473684211,0.3676290848,0.2986058302,0.4942965779,0.476674981,0.5988835082,0.4942965779,0.4602631371,0.4942965779,qwen,4
labels_only_test,0.7471590909,0.6197948176,0.6265525982,0.6235741445,0.6007133071,0.6535423603,0.6235741445,0.5991345948,0.6235741445,qwen,8
labels_only_test,0.7293814433,0.599545201,0.6385841028,0.5399239544,0.5393544251,0.5784226526,0.5399239544,0.603118857,0.5399239544,qwen,12
labels_only_test,0.7667560322,0.6407078895,0.6779467681,0.6577946768,0.6556645104,0.6613300493,0.6577946768,0.6749146753,0.6577946768,qwen,16
labels_only_test,0.770718232,0.6451637455,0.6848542459,0.6768060837,0.6571291225,0.7428753877,0.6768060837,0.6496784759,0.6768060837,qwen,20
labels_only_test,0.7858117326,0.6278469029,0.6949302915,0.6273764259,0.6089408826,0.7036231884,0.6273764259,0.5803364944,0.6273764259,qwen,24
labels_only_test,0.7690253672,0.6171896179,0.6782636248,0.6730038023,0.6724291166,0.7168956671,0.6730038023,0.6590233284,0.6730038023,qwen,28
labels_only_test,0.7758389262,0.6177428386,0.6711026616,0.6501901141,0.6517714568,0.667027417,0.6501901141,0.6739584523,0.6501901141,qwen,32
labels_only_test,0.7961696306,0.6352899408,0.6861850444,0.6273764259,0.6248523172,0.6249900462,0.6273764259,0.6699132544,0.6273764259,qwen,36
labels_only_test,0.7906976744,0.6395347637,0.6858048162,0.6159695817,0.6030345093,0.600971251,0.6159695817,0.6495120744,0.6159695817,qwen,40
labels_only_test,0.7851458886,0.6351195395,0.7000633714,0.6577946768,0.6214281603,0.6646807282,0.6577946768,0.6801926508,0.6577946768,qwen,44
labels_only_test,0.7941952507,0.6357141702,0.7081749049,0.6882129278,0.6546106424,0.7306103441,0.6882129278,0.6940824918,0.6882129278,qwen,48
labels_only_test,0.7958656331,0.6382493323,0.7109632446,0.6920152091,0.6711105763,0.7442108789,0.6920152091,0.6892961039,0.6920152091,qwen,52
labels_only_test,0.7941567065,0.645292407,0.688086185,0.6692015209,0.661599938,0.7087537289,0.6692015209,0.6518217746,0.6692015209,qwen,56
labels_only_test,0.8058902276,0.6466686749,0.7007604563,0.6730038023,0.6752857606,0.7250337494,0.6730038023,0.66117483,0.6730038023,qwen,60
labels_only_test,0.8064085447,0.6693323634,0.6975375702,0.6653992395,0.6694556952,0.7058675596,0.6653992395,0.6684414211,0.6653992395,qwen,64
labels_only_test,0.8079470199,0.6633483751,0.6996773822,0.6920152091,0.6939925,0.7154173312,0.6920152091,0.6923686732,0.6920152091,qwen,68
labels_only_test,0.809587217,0.6646037878,0.6927756654,0.711026616,0.7084293927,0.7239776531,0.711026616,0.7145463654,0.711026616,qwen,72
labels_only_test,0.8021108179,0.6662213951,0.6958808619,0.6730038023,0.6579920721,0.674634486,0.6730038023,0.6915044398,0.6730038023,qwen,76
labels_only_test,0.8026490066,0.6646580014,0.6918884664,0.6692015209,0.6470866468,0.6747598432,0.6692015209,0.6895539091,0.6692015209,qwen,80
labels_only_test,0.8121693122,0.6581221144,0.7015480717,0.6692015209,0.6415795677,0.6771625238,0.6692015209,0.6915776799,0.6692015209,qwen,84
labels_only_test,0.8131578947,0.6578048031,0.7153630273,0.6844106464,0.6585174526,0.6905931906,0.6844106464,0.7042476336,0.6844106464,qwen,88
labels_only_test,0.8115942029,0.6621704517,0.7183414811,0.6844106464,0.6656723357,0.6959173329,0.6844106464,0.6991243412,0.6844106464,qwen,92
labels_only_test,0.8094612352,0.6489999713,0.7192286801,0.7072243346,0.6962312561,0.7128413405,0.7072243346,0.7208186487,0.7072243346,qwen,96
labels_only_test,0.8047493404,0.6460001789,0.7113072605,0.711026616,0.7070220644,0.7188229281,0.711026616,0.7280202026,0.711026616,qwen,100
labels_only_test,0.811023622,0.658535994,0.7139054861,0.7300380228,0.7298552088,0.7468153434,0.7300380228,0.7431785623,0.7300380228,qwen,104
labels_only_test,0.8088426528,0.672740637,0.7088357777,0.711026616,0.7116600452,0.7304179515,0.711026616,0.7172357423,0.711026616,qwen,108
labels_only_test,0.8,0.6641877692,0.7031323556,0.6958174905,0.6951328172,0.7058438269,0.6958174905,0.6998526409,0.6958174905,qwen,112
labels_only_test,0.8,0.6608417043,0.6977457903,0.7072243346,0.7062548356,0.7201042041,0.7072243346,0.7163609624,0.7072243346,qwen,116
labels_only_test,0.8077922078,0.6681415095,0.7063009234,0.7148288973,0.7128873156,0.7305515382,0.7148288973,0.7216201885,0.7148288973,qwen,120
labels_only_test,0.8072916667,0.6671340349,0.7094694912,0.7034220532,0.7002512346,0.7139565228,0.7034220532,0.7149483071,0.7034220532,qwen,124
labels_only_test,0.8115183246,0.6686428735,0.7116241173,0.711026616,0.7075997508,0.7288562705,0.711026616,0.7243828056,0.711026616,qwen,128