dataset,labels_micro_f1,labels_macro_f1,labels_jaccard,openness_accuracy,openness_f1,model,step
labels_withphrase_test,0.5,0.3669027529,0.3254119138,0.3764258555,0.2148613798,yi,4
labels_withphrase_test,0.3454894434,0.2724071065,0.1605830165,0.5437262357,0.5239284054,yi,8
labels_withphrase_test,0.5106382979,0.3584438806,0.4473474561,0.433460076,0.3289677362,yi,12
labels_withphrase_test,0.5918618989,0.4715876759,0.5207224335,0.5133079848,0.3912366467,yi,16
labels_withphrase_test,0.6850961538,0.5421656336,0.6164946587,0.5969581749,0.5456313617,yi,20
labels_withphrase_test,0.7123655914,0.5729083964,0.6451204056,0.6007604563,0.5922393822,yi,24
labels_withphrase_test,0.7136563877,0.5574625386,0.6064638783,0.6349809886,0.6357436346,yi,28
labels_withphrase_test,0.7530364372,0.5779563144,0.664240449,0.6730038023,0.6666193439,yi,32
labels_withphrase_test,0.7538860104,0.6046676652,0.6927666123,0.6615969582,0.6542801816,yi,36
labels_withphrase_test,0.7547169811,0.6189074711,0.6889009596,0.6615969582,0.6617841217,yi,40
labels_withphrase_test,0.762755102,0.5974379677,0.6935361217,0.6539923954,0.6472388943,yi,44
labels_withphrase_test,0.7721518987,0.6265357441,0.7078580482,0.6920152091,0.6903599022,yi,48
labels_withphrase_test,0.7751724138,0.5974705558,0.6759188847,0.6958174905,0.6952907454,yi,52
labels_withphrase_test,0.7773279352,0.6147293526,0.7169835234,0.63878327,0.6004679002,yi,56
labels_withphrase_test,0.7785419532,0.6011884715,0.6502534854,0.7034220532,0.6987347663,yi,60
labels_withphrase_test,0.7904509284,0.6291362684,0.7128010139,0.6996197719,0.6984001125,yi,64
labels_withphrase_test,0.7908232119,0.6383152459,0.6792685135,0.7338403042,0.7322312261,yi,68
labels_withphrase_test,0.8031914894,0.6632880315,0.701955459,0.7186311787,0.7152102234,yi,72
labels_withphrase_test,0.8105960265,0.6714234224,0.7166032953,0.711026616,0.6946481777,yi,76
labels_withphrase_test,0.8111702128,0.687715714,0.7090621039,0.752851711,0.7541652632,yi,80
labels_withphrase_test,0.8121546961,0.6445308224,0.7154173456,0.6958174905,0.6916386845,yi,84
labels_withphrase_test,0.8138297872,0.671904795,0.7173003802,0.7224334601,0.7239661609,yi,88
labels_withphrase_test,0.8139223561,0.6753764341,0.7178707224,0.6958174905,0.6874306647,yi,92
labels_withphrase_test,0.8175765646,0.6775571649,0.7216730038,0.711026616,0.6917822482,yi,96
labels_withphrase_test,0.8186666667,0.6830684982,0.7220532319,0.7034220532,0.6878721859,yi,100
labels_withphrase_test,0.8198924731,0.6899064046,0.7239543726,0.7376425856,0.7307938404,yi,104
labels_withphrase_test,0.8219544846,0.6796021754,0.7239543726,0.7148288973,0.7087412017,yi,108
labels_withphrase_test,0.8219544846,0.6907526821,0.7242712294,0.7262357414,0.7165756613,yi,112
labels_withphrase_test,0.8233695652,0.663524647,0.7371989861,0.7034220532,0.6946923112,yi,116
labels_withphrase_test,0.8255659121,0.6842504034,0.7372623574,0.7072243346,0.6990603386,yi,120
labels_withphrase_test,0.8263795424,0.6968079655,0.7274397972,0.7300380228,0.7254133379,yi,124
labels_withphrase_test,0.8319559229,0.6652314452,0.7379594423,0.6882129278,0.6818178729,yi,128